"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-05-31",,,"81",",,0","57",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-01",,,"86",",,0","63",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-02",,,"81",",,0","63",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-03",,,"88",",,0","65",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-04",,,"95",",,0","71",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-05",,,"83",",,0","64",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-06",,,"76",",,0","59",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-07",,,"70",",,0","61",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-08",,,"77",",,0","54",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-09",,,"81",",,0","58",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-10",,,"89",",,0","64",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-11",,,"91",",,0","72",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-12",,,"84",",,0","70",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-13",,,"71",",,0","63",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-14",,,"75",",,0","59",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-15",,,"84",",,0","61",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-16",,,"83",",,0","60",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-17",,,"72",",,0","55",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-18",,,"81",",,0","59",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-19",,,"87",",,0","67",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-20",,,"87",",,0","68",",,0"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","38.75246","-90.37342","162.0","1960-06-21",,,"88",",,0","72",",,0"
